DATE,OUTCOME,ANIMAL,VOLUME
2014-01-12,Adoption,CATS,0
2015-01-01,Return to Owner,DOGS,291
2015-01-01,Adoption,DOGS,32
2015-01-01,Other,CATS,11
2015-01-01,Other,DOGS,12
2015-01-01,Adoption,CATS,23
2015-01-01,Return to Owner,CATS,51
2015-01-01,Euthanasia,CATS,31
2015-01-01,Euthanasia,DOGS,12
2015-01-02,Adoption,CATS,13
2015-01-02,Adoption,DOGS,15
2015-01-02,Return to Owner,DOGS,144
2015-01-02,Other,CATS,3
2015-01-02,Return to Owner,CATS,14
2015-01-02,Other,DOGS,5
2015-01-02,Euthanasia,CATS,4
2015-01-02,Euthanasia,DOGS,9
2015-01-03,Return to Owner,DOGS,219
2015-01-03,Return to Owner,CATS,70
2015-01-03,Adoption,CATS,25
2015-01-03,Other,CATS,12
2015-01-03,Adoption,DOGS,16
2015-01-03,Other,DOGS,8
2015-01-03,Euthanasia,CATS,14
2015-01-03,Euthanasia,DOGS,15
2015-01-04,Adoption,CATS,32
2015-01-04,Return to Owner,DOGS,265
2015-01-04,Other,CATS,10
2015-01-04,Adoption,DOGS,21
2015-01-04,Return to Owner,CATS,69
2015-01-04,Other,DOGS,10
2015-01-04,Euthanasia,CATS,18
2015-01-04,Euthanasia,DOGS,14
2015-01-05,Return to Owner,CATS,38
2015-01-05,Other,DOGS,8
2015-01-05,Adoption,CATS,11
2015-01-05,Return to Owner,DOGS,200
2015-01-05,Adoption,DOGS,17
2015-01-05,Euthanasia,CATS,8
2015-01-05,Euthanasia,DOGS,8
2015-01-05,Return to Owner,CATS,61
2015-01-06,Other,CATS,2
2015-01-06,Adoption,CATS,13
2015-01-06,Return to Owner,CATS,15
2015-01-06,Adoption,DOGS,4
2015-01-06,Other,DOGS,4
2015-01-06,Euthanasia,CATS,3
2015-01-06,Euthanasia,DOGS,4
2015-01-06,Return to Owner,CATS,17
2015-01-07,Other,CATS,22
2015-01-07,Return to Owner,CATS,43
2015-01-07,Adoption,CATS,15
2015-01-07,Adoption,DOGS,9
2015-01-07,Return to Owner,DOGS,132
2015-01-07,Euthanasia,CATS,5
2015-01-07,Euthanasia,DOGS,2
2015-01-07,Adoption,CATS,9
2015-01-08,Euthanasia,CATS,13
2015-01-08,Other,CATS,8
2015-01-08,Return to Owner,CATS,75
2015-01-08,Adoption,DOGS,9
2015-01-08,Euthanasia,DOGS,7
2015-01-08,Other,DOGS,2
2015-01-08,Return to Owner,DOGS,158
2015-01-08,Adoption,CATS,15
2015-01-09,Euthanasia,CATS,30
2015-01-09,Other,CATS,37
2015-01-09,Return to Owner,CATS,79
2015-01-09,Adoption,DOGS,11
2015-01-09,Euthanasia,DOGS,4
2015-01-09,Other,DOGS,6
2015-01-09,Return to Owner,DOGS,189
2015-01-09,Adoption,CATS,94
2015-01-10,Euthanasia,CATS,6
2015-01-10,Other,CATS,41
2015-01-10,Return to Owner,CATS,43
2015-01-10,Adoption,DOGS,11
2015-01-10,Euthanasia,DOGS,5
2015-01-10,Other,DOGS,6
2015-01-10,Return to Owner,DOGS,92
2015-01-10,Adoption,CATS,50
2015-01-11,Euthanasia,CATS,10
2015-01-11,Other,CATS,34
2015-01-11,Return to Owner,CATS,30
2015-01-11,Adoption,DOGS,8
2015-01-11,Euthanasia,DOGS,6
2015-01-11,Other,DOGS,6
2015-01-11,Return to Owner,DOGS,60
2015-01-11,Adoption,CATS,29
2015-01-12,Adoption,CATS,44
2015-01-12,Euthanasia,CATS,19
2015-01-12,Other,CATS,70
2015-01-12,Return to Owner,CATS,68
2015-01-12,Adoption,DOGS,6
2015-01-12,Euthanasia,DOGS,1
2015-01-12,Other,DOGS,6
2015-01-12,Return to Owner,DOGS,84
2016-01-01,Adoption,CATS,17
2016-01-01,Return to Owner,DOGS,338
2016-01-01,Return to Owner,CATS,58
2016-01-01,Other,CATS,9
2016-01-01,Adoption,DOGS,41
2016-01-01,Other,DOGS,10
2016-01-01,Euthanasia,CATS,30
2016-01-01,Euthanasia,DOGS,19
2016-01-02,Other,CATS,0
2016-01-02,Return to Owner,CATS,12
2016-01-02,Other,DOGS,4
2016-01-02,Adoption,DOGS,27
2016-01-02,Adoption,CATS,13
2016-01-02,Return to Owner,DOGS,181
2016-01-02,Euthanasia,CATS,8
2016-01-02,Euthanasia,DOGS,11
2016-01-03,Return to Owner,DOGS,154
2016-01-03,Other,CATS,5
2016-01-03,Adoption,CATS,17
2016-01-03,Return to Owner,CATS,23
2016-01-03,Other,DOGS,3
2016-01-03,Adoption,DOGS,16
2016-01-03,Euthanasia,CATS,11
2016-01-03,Euthanasia,DOGS,10
2016-01-04,Return to Owner,CATS,73
2016-01-04,Adoption,CATS,23
2016-01-04,Adoption,DOGS,28
2016-01-04,Return to Owner,DOGS,305
2016-01-04,Other,CATS,16
2016-01-04,Other,DOGS,2
2016-01-04,Euthanasia,CATS,7
2016-01-04,Euthanasia,DOGS,22
2016-01-05,Other,DOGS,9
2016-01-05,Adoption,DOGS,10
2016-01-05,Other,CATS,5
2016-01-05,Return to Owner,DOGS,172
2016-01-05,Adoption,CATS,25
2016-01-05,Euthanasia,CATS,10
2016-01-05,Euthanasia,DOGS,8
2016-01-05,Return to Owner,CATS,56
2016-01-06,Adoption,DOGS,8
2016-01-06,Other,DOGS,6
2016-01-06,Return to Owner,DOGS,118
2016-01-06,Adoption,CATS,8
2016-01-06,Other,CATS,7
2016-01-06,Euthanasia,CATS,2
2016-01-06,Euthanasia,DOGS,1
2016-01-06,Adoption,DOGS,12
2016-01-07,Euthanasia,CATS,5
2016-01-07,Other,CATS,4
2016-01-07,Return to Owner,CATS,11
2016-01-07,Adoption,DOGS,21
2016-01-07,Euthanasia,DOGS,3
2016-01-07,Other,DOGS,4
2016-01-07,Return to Owner,DOGS,74
2016-01-07,Adoption,CATS,10
2016-01-08,Euthanasia,CATS,12
2016-01-08,Other,CATS,17
2016-01-08,Return to Owner,CATS,47
2016-01-08,Adoption,DOGS,7
2016-01-08,Euthanasia,DOGS,3
2016-01-08,Other,DOGS,18
2016-01-08,Return to Owner,DOGS,159
2016-01-08,Adoption,CATS,17
2016-01-09,Euthanasia,CATS,30
2016-01-09,Other,CATS,37
2016-01-09,Return to Owner,CATS,79
2016-01-09,Adoption,DOGS,11
2016-01-09,Euthanasia,DOGS,4
2016-01-09,Other,DOGS,6
2016-01-09,Return to Owner,DOGS,189
2016-01-09,Adoption,CATS,103
2016-01-10,Euthanasia,CATS,11
2016-01-10,Other,CATS,28
2016-01-10,Return to Owner,CATS,53
2016-01-10,Adoption,DOGS,10
2016-01-10,Euthanasia,DOGS,6
2016-01-10,Other,DOGS,6
2016-01-10,Return to Owner,DOGS,125
2016-01-10,Adoption,CATS,48
2017-01-01,Adoption,DOGS,32
2017-01-01,Return to Owner,DOGS,374
2017-01-01,Adoption,CATS,29
2017-01-01,Return to Owner,CATS,50
2017-01-01,Other,DOGS,6
2017-01-01,Other,CATS,4
2017-01-01,Euthanasia,CATS,29
2017-01-01,Euthanasia,DOGS,20
2017-01-02,Other,CATS,2
2017-01-02,Return to Owner,CATS,24
2017-01-02,Return to Owner,DOGS,204
2017-01-02,Adoption,DOGS,21
2017-01-02,Adoption,CATS,16
2017-01-02,Other,DOGS,5
2017-01-02,Euthanasia,CATS,7
2017-01-02,Euthanasia,DOGS,12
2017-01-03,Return to Owner,DOGS,152
2017-01-03,Return to Owner,CATS,14
2017-01-03,Adoption,CATS,18
2017-01-03,Other,DOGS,1
2017-01-03,Other,CATS,2
2017-01-03,Adoption,DOGS,16
2017-01-03,Euthanasia,CATS,2
2017-01-03,Euthanasia,DOGS,6
2017-01-04,Return to Owner,DOGS,272
2017-01-04,Other,CATS,9
2017-01-04,Adoption,DOGS,19
2017-01-04,Return to Owner,CATS,58
2017-01-04,Adoption,CATS,18
2017-01-04,Other,DOGS,5
2017-01-04,Euthanasia,CATS,12
2017-01-04,Euthanasia,DOGS,18
2017-01-05,Other,DOGS,8
2017-01-05,Return to Owner,DOGS,266
2017-01-05,Adoption,DOGS,17
2017-01-05,Other,CATS,8
2017-01-05,Adoption,CATS,25
2017-01-05,Euthanasia,CATS,12
2017-01-05,Euthanasia,DOGS,6
2017-01-05,Return to Owner,DOGS,278
2017-01-06,Adoption,CATS,15
2017-01-06,Other,DOGS,3
2017-01-06,Other,CATS,3
2017-01-06,Return to Owner,DOGS,161
2017-01-06,Return to Owner,CATS,31
2017-01-06,Euthanasia,CATS,7
2017-01-06,Euthanasia,DOGS,4
2017-01-06,Return to Owner,CATS,50
2017-01-07,Euthanasia,CATS,5
2017-01-07,Other,CATS,1
2017-01-07,Return to Owner,CATS,16
2017-01-07,Adoption,DOGS,4
2017-01-07,Euthanasia,DOGS,2
2017-01-07,Other,DOGS,4
2017-01-07,Return to Owner,DOGS,84
2017-01-07,Adoption,CATS,4
2017-01-08,Euthanasia,CATS,2
2017-01-08,Other,CATS,4
2017-01-08,Return to Owner,CATS,27
2017-01-08,Adoption,DOGS,10
2017-01-08,Euthanasia,DOGS,6
2017-01-08,Other,DOGS,6
2017-01-08,Return to Owner,DOGS,102
2017-01-08,Adoption,CATS,16
2017-01-09,Euthanasia,CATS,22
2017-01-09,Other,CATS,28
2017-01-09,Return to Owner,CATS,105
2017-01-09,Adoption,DOGS,11
2017-01-09,Euthanasia,DOGS,11
2017-01-09,Other,DOGS,7
2017-01-09,Return to Owner,DOGS,167
2017-01-09,Adoption,CATS,96
2017-01-10,Euthanasia,CATS,21
2017-01-10,Other,CATS,41
2017-01-10,Return to Owner,CATS,84
2017-01-10,Adoption,DOGS,9
2017-01-10,Euthanasia,DOGS,7
2017-01-10,Other,DOGS,4
2017-01-10,Return to Owner,DOGS,123
2017-01-10,Adoption,CATS,58
2017-01-11,Euthanasia,CATS,11
2017-01-11,Other,CATS,29
2017-01-11,Return to Owner,CATS,34
2017-01-11,Adoption,DOGS,4
2017-01-11,Euthanasia,DOGS,4
2017-01-11,Other,DOGS,5
2017-01-11,Return to Owner,DOGS,51
2017-01-11,Adoption,CATS,23
2017-01-12,Adoption,CATS,62
2017-01-12,Euthanasia,CATS,13
2017-01-12,Other,CATS,28
2017-01-12,Return to Owner,CATS,88
2017-01-12,Adoption,DOGS,8
2017-01-12,Euthanasia,DOGS,3
2017-01-12,Other,DOGS,7
2017-01-12,Return to Owner,DOGS,102
2018-01-01,Adoption,CATS,37
2018-01-01,Return to Owner,CATS,56
2018-01-01,Other,CATS,6
2018-01-01,Return to Owner,DOGS,376
2018-01-01,Other,DOGS,2
2018-01-01,Adoption,DOGS,22
2018-01-01,Euthanasia,CATS,19
2018-01-01,Euthanasia,DOGS,21
2018-01-02,Other,DOGS,11
2018-01-02,Adoption,DOGS,11
2018-01-02,Other,CATS,2
2018-01-02,Return to Owner,DOGS,259
2018-01-02,Return to Owner,CATS,31
2018-01-02,Adoption,CATS,18
2018-01-02,Euthanasia,CATS,6
2018-01-02,Euthanasia,DOGS,13
2018-01-03,Other,CATS,3
2018-01-03,Return to Owner,DOGS,144
2018-01-03,Other,DOGS,5
2018-01-03,Adoption,CATS,10
2018-01-03,Return to Owner,CATS,21
2018-01-03,Adoption,DOGS,15
2018-01-03,Euthanasia,CATS,6
2018-01-03,Euthanasia,DOGS,9
2018-01-04,Return to Owner,CATS,59
2018-01-04,Other,CATS,16
2018-01-04,Other,DOGS,8
2018-01-04,Adoption,DOGS,16
2018-01-04,Return to Owner,DOGS,219
2018-01-04,Adoption,CATS,29
2018-01-04,Euthanasia,CATS,7
2018-01-04,Euthanasia,DOGS,15
2018-01-05,Return to Owner,CATS,55
2018-01-05,Adoption,DOGS,14
2018-01-05,Other,CATS,7
2018-01-05,Adoption,CATS,25
2018-01-05,Other,DOGS,8
2018-01-05,Euthanasia,CATS,9
2018-01-05,Euthanasia,DOGS,2
2018-01-05,Return to Owner,DOGS,248
2018-01-06,Other,DOGS,7
2018-01-06,Return to Owner,DOGS,191
2018-01-06,Other,CATS,5
2018-01-06,Adoption,CATS,16
2018-01-06,Adoption,DOGS,6
2018-01-06,Euthanasia,CATS,9
2018-01-06,Euthanasia,DOGS,2
2018-01-06,Adoption,CATS,19
2018-01-07,Euthanasia,CATS,6
2018-01-07,Other,CATS,4
2018-01-07,Return to Owner,CATS,20
2018-01-07,Adoption,DOGS,9
2018-01-07,Euthanasia,DOGS,6
2018-01-07,Other,DOGS,3
2018-01-07,Return to Owner,DOGS,143
2018-01-07,Adoption,CATS,22
2018-01-08,Euthanasia,CATS,3
2018-01-08,Other,CATS,7
2018-01-08,Return to Owner,CATS,25
2018-01-08,Adoption,DOGS,10
2018-01-08,Euthanasia,DOGS,3
2018-01-08,Other,DOGS,6
2018-01-08,Return to Owner,DOGS,78
2018-01-08,Adoption,CATS,14
2018-01-09,Euthanasia,CATS,32
2018-01-09,Other,CATS,52
2018-01-09,Return to Owner,CATS,82
2018-01-09,Adoption,DOGS,4
2018-01-09,Euthanasia,DOGS,5
2018-01-09,Other,DOGS,8
2018-01-09,Return to Owner,DOGS,131
2018-01-09,Adoption,CATS,69
2018-01-10,Euthanasia,CATS,17
2018-01-10,Other,CATS,40
2018-01-10,Return to Owner,CATS,57
2018-01-10,Adoption,DOGS,14
2018-01-10,Euthanasia,DOGS,8
2018-01-10,Other,DOGS,6
2018-01-10,Return to Owner,DOGS,160
2018-01-10,Adoption,CATS,52
2018-01-11,Euthanasia,CATS,9
2018-01-11,Other,CATS,31
2018-01-11,Return to Owner,CATS,42
2018-01-11,Adoption,DOGS,5
2018-01-11,Euthanasia,DOGS,7
2018-01-11,Other,DOGS,2
2018-01-11,Return to Owner,DOGS,54
2018-01-11,Adoption,CATS,26
2018-01-12,Adoption,CATS,60
2018-01-12,Euthanasia,CATS,18
2018-01-12,Other,CATS,47
2018-01-12,Return to Owner,CATS,80
2018-01-12,Adoption,DOGS,3
2018-01-12,Euthanasia,DOGS,2
2018-01-12,Other,DOGS,12
2018-01-12,Return to Owner,DOGS,69
2019-01-01,Return to Owner,CATS,73
2019-01-01,Adoption,CATS,41
2019-01-01,Other,DOGS,33
2019-01-01,Adoption,DOGS,37
2019-01-01,Other,CATS,6
2019-01-01,Return to Owner,DOGS,360
2019-01-01,Euthanasia,CATS,15
2019-01-01,Euthanasia,DOGS,21
2019-01-02,Adoption,DOGS,27
2019-01-02,Other,CATS,7
2019-01-02,Return to Owner,DOGS,295
2019-01-02,Other,DOGS,4
2019-01-02,Return to Owner,CATS,69
2019-01-02,Adoption,CATS,24
2019-01-02,Euthanasia,CATS,26
2019-01-02,Euthanasia,DOGS,18
2019-01-03,Other,DOGS,4
2019-01-03,Return to Owner,DOGS,181
2019-01-03,Adoption,DOGS,27
2019-01-03,Return to Owner,CATS,8
2019-01-03,Adoption,CATS,9
2019-01-03,Other,CATS,4
2019-01-03,Euthanasia,CATS,3
2019-01-03,Euthanasia,DOGS,11
2019-01-04,Adoption,DOGS,16
2019-01-04,Other,CATS,6
2019-01-04,Return to Owner,CATS,44
2019-01-04,Other,DOGS,3
2019-01-04,Adoption,CATS,25
2019-01-04,Return to Owner,DOGS,154
2019-01-04,Euthanasia,CATS,4
2019-01-04,Euthanasia,DOGS,10
2019-01-05,Adoption,DOGS,20
2019-01-05,Other,DOGS,2
2019-01-05,Return to Owner,CATS,54
2019-01-05,Adoption,CATS,20
2019-01-05,Other,CATS,8
2019-01-05,Euthanasia,CATS,11
2019-01-05,Euthanasia,DOGS,7
2019-01-05,Return to Owner,CATS,61
2019-01-06,Return to Owner,CATS,56
2019-01-06,Other,CATS,8
2019-01-06,Return to Owner,DOGS,178
2019-01-06,Other,DOGS,4
2019-01-06,Adoption,DOGS,13
2019-01-06,Euthanasia,CATS,12
2019-01-06,Euthanasia,DOGS,8
2019-01-06,Return to Owner,DOGS,229
2019-01-07,Euthanasia,CATS,3
2019-01-07,Other,CATS,10
2019-01-07,Return to Owner,CATS,26
2019-01-07,Adoption,DOGS,15
2019-01-07,Euthanasia,DOGS,4
2019-01-07,Other,DOGS,11
2019-01-07,Return to Owner,DOGS,149
2019-01-07,Adoption,CATS,45
2019-01-08,Euthanasia,CATS,4
2019-01-08,Other,CATS,5
2019-01-08,Return to Owner,CATS,10
2019-01-08,Adoption,DOGS,8
2019-01-08,Euthanasia,DOGS,5
2019-01-08,Other,DOGS,5
2019-01-08,Return to Owner,DOGS,69
2019-01-08,Adoption,CATS,28
2019-01-09,Euthanasia,CATS,19
2019-01-09,Other,CATS,34
2019-01-09,Return to Owner,CATS,60
2019-01-09,Adoption,DOGS,10
2019-01-09,Euthanasia,DOGS,8
2019-01-09,Other,DOGS,12
2019-01-09,Return to Owner,DOGS,124
2019-01-09,Adoption,CATS,52
2019-01-10,Euthanasia,CATS,22
2019-01-10,Other,CATS,72
2019-01-10,Return to Owner,CATS,81
2019-01-10,Adoption,DOGS,7
2019-01-10,Euthanasia,DOGS,3
2019-01-10,Other,DOGS,11
